customer_id,customer_type,base_purchase,profit_no_coupon,profit_with_coupon
0,normal,470,141.0,75.2
1,neutral,900,270.0,171.0
2,normal,321,96.3,51.36
3,coupon_sensitive,530,159.0,212.0
4,normal,572,171.6,91.52
5,normal,863,258.9,138.08
6,normal,508,152.4,81.28
7,neutral,691,207.3,131.29
8,neutral,585,175.5,111.15
9,coupon_sensitive,476,142.8,190.4
10,normal,513,153.9,82.08
11,normal,947,284.1,151.52
12,coupon_sensitive,674,202.2,269.6
13,normal,881,264.3,140.96
14,coupon_sensitive,899,269.7,359.6
15,normal,389,116.7,62.24
16,coupon_sensitive,762,228.6,304.8
17,normal,443,132.9,70.88
18,normal,330,99.0,52.8
19,neutral,846,253.8,160.74
20,coupon_sensitive,366,109.8,146.4
21,coupon_sensitive,800,240.0,320.0
22,neutral,441,132.3,83.79
23,normal,545,163.5,87.2
24,coupon_sensitive,539,161.7,215.6
25,coupon_sensitive,654,196.2,261.6
26,normal,975,292.5,156.0
27,coupon_sensitive,405,121.5,162.0
28,normal,761,228.3,121.76
29,normal,201,60.3,32.16
30,normal,765,229.5,122.4
31,normal,676,202.8,108.16
32,neutral,929,278.7,176.51
33,normal,401,120.3,64.16
34,neutral,469,140.7,89.11
35,neutral,470,141.0,89.3
36,coupon_sensitive,926,277.8,370.4
37,normal,901,270.3,144.16
38,normal,919,275.7,147.04
39,neutral,252,75.6,47.88
40,normal,416,124.8,66.56
41,coupon_sensitive,579,173.7,231.6
42,coupon_sensitive,356,106.8,142.4
43,neutral,264,79.2,50.16
44,coupon_sensitive,720,216.0,288.0
45,neutral,847,254.1,160.93
46,coupon_sensitive,338,101.4,135.2
47,coupon_sensitive,591,177.3,236.4
48,neutral,488,146.4,92.72
49,normal,689,206.7,110.24
50,normal,240,72.0,38.4
51,neutral,400,120.0,76.0
52,normal,232,69.6,37.12
53,coupon_sensitive,606,181.8,242.4
54,normal,298,89.4,47.68
55,normal,925,277.5,148.0
56,neutral,938,281.4,178.22
57,coupon_sensitive,661,198.3,264.4
58,neutral,204,61.2,38.76
59,normal,966,289.8,154.56
60,coupon_sensitive,994,298.2,397.6
61,normal,214,64.2,34.24
62,coupon_sensitive,660,198.0,264.0
63,coupon_sensitive,942,282.6,376.8
64,normal,295,88.5,47.2
65,normal,684,205.2,109.44
66,coupon_sensitive,948,284.4,379.2
67,normal,740,222.0,118.4
68,coupon_sensitive,359,107.7,143.6
69,normal,442,132.6,70.72
70,coupon_sensitive,777,233.1,310.8
71,normal,773,231.9,123.68
72,normal,845,253.5,135.2
73,normal,819,245.7,131.04
74,coupon_sensitive,997,299.1,398.8
75,neutral,839,251.7,159.41
76,neutral,547,164.1,103.93
77,normal,389,116.7,62.24
78,coupon_sensitive,576,172.8,230.4
79,normal,832,249.6,133.12
80,neutral,944,283.2,179.36
81,normal,909,272.7,145.44
82,normal,848,254.4,135.68
83,normal,424,127.2,67.84
84,coupon_sensitive,883,264.9,353.2
85,coupon_sensitive,573,171.9,229.2
86,coupon_sensitive,671,201.3,268.4
87,neutral,312,93.6,59.28
88,coupon_sensitive,641,192.3,256.4
89,neutral,709,212.7,134.71
90,normal,586,175.8,93.76
91,normal,824,247.2,131.84
92,neutral,898,269.4,170.62
93,normal,841,252.3,134.56
94,normal,935,280.5,149.6
95,neutral,602,180.6,114.38
96,normal,252,75.6,40.32
97,normal,871,261.3,139.36
98,normal,446,133.8,71.36
99,normal,402,120.6,64.32
